OID_,Value,Count,Clip_bps_220,Clip_evt_230,BPS_MODEL,BPS_NAME,GROUPVEG,EVT_NAME,EVT_PHYS
1885,1885,60.000000000000000,1613,9203,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Northern Great Lakes Interdunal Wetland,Riparian
1886,1886,379.000000000000000,1601,7977,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Pasture and Hayland,Agricultural
1887,1887,37.000000000000000,1601,7297,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Developed-Medium Intensity,Developed-Medium Intensity
1888,1888,24.000000000000000,1601,7926,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Developed Evergreen Forest,Developed
1889,1889,10.000000000000000,1613,7366,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian-Acadian Pine-Hemlock Forest,Conifer
1890,1890,28.000000000000000,1601,7925,14071_41_50_51,Laurentian Pine-Oak Barrens,Hardwood-Conifer,Eastern Cool Temperate Developed Deciduous Forest,Developed
1891,1891,2.000000000000000,1613,7466,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Great Lakes Wooded Dune and Swale,Riparian
1892,1892,22.000000000000000,1590,7238,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Laurentian-Acadian Northern Oak Forest,Hardwood
1893,1893,64.000000000000000,1600,9312,13950_41_42_43_49_52,North-Central Oak Barrens,Hardwood,Northeastern North American Temperate Forest Plantation,Conifer
1894,1894,1.000000000000000,1602,9601,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Great Lakes Dune Grassland,Grassland
1895,1895,46.000000000000000,1629,9318,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Northern & Central Ruderal Wet Meadow & Marsh,Riparian
1896,1896,1630.000000000000000,1629,9315,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Northern & Central Native Ruderal Forest,Conifer-Hardwood
1897,1897,32.000000000000000,1629,9314,14072_41_50_51,Laurentian Pine-Oak Barrens-Jack Pine,Conifer,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
1898,1898,39155.000000000000000,1623,7978,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Eastern Cool Temperate Wheat,Agricultural
1899,1899,3266.000000000000000,1639,7978,14810_41_50_51_63,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Eastern Cool Temperate Wheat,Agricultural
1900,1900,269.000000000000000,1633,7974,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Eastern Cool Temperate Row Crop,Agricultural
1901,1901,94.000000000000000,1637,7978,14770_40_41_50_51,Boreal Acidic Peatland Systems,Riparian,Eastern Cool Temperate Wheat,Agricultural
1902,1902,7.000000000000000,1616,7970,13023_51,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood,Eastern Cool Temperate Orchard,Agricultural
1903,1903,1.000000000000000,1641,7242,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Laurentian Oak Barrens,Hardwood
1904,1904,36.000000000000000,1633,7970,14440_41_50_51,Eastern Boreal Floodplain,Hardwood,Eastern Cool Temperate Orchard,Agricultural
1905,1905,26.000000000000000,1623,7979,13651_51,Boreal White Spruce-Fir-Hardwood Forest-Inland,Conifer,Eastern Cool Temperate Aquaculture,Agricultural
1906,1906,310.000000000000000,1615,7972,13022_41_50_51,Laurentian-Acadian Northern Hardwoods Forest-Hemlock,Hardwood,Eastern Cool Temperate Bush fruit and berries,Agricultural
1907,1907,160.000000000000000,1641,7975,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Cool Temperate Close Grown Crop,Agricultural
1908,1908,815.000000000000000,1641,7974,14940_41_50_51,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian,Eastern Cool Temperate Row Crop,Agricultural
1909,1909,6.000000000000000,1590,9295,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce-Hardwood Forest,Conifer-Hardwood
1910,1910,11.000000000000000,1590,9117,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Laurentian-Acadian Floodplain Forest,Riparian
1911,1911,69.000000000000000,1590,7974,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Row Crop,Agricultural
1912,1912,1.000000000000000,1606,7908,14710_41_50,Central Interior and Appalachian Floodplain Systems,Riparian,Eastern Cool Temperate Urban Herbaceous,Developed
1913,1913,7.000000000000000,1590,7929,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Developed Herbaceous,Developed
1914,1914,358.000000000000000,1590,9056,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian
1915,1915,44.000000000000000,1590,7909,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Eastern Cool Temperate Urban Shrubland,Developed
1916,1916,3.000000000000000,1590,7298,13100_41_62,North-Central Interior Dry-Mesic Oak Forest and Woodland,Hardwood,Developed-High Intensity,Developed-High Intensity
1917,1917,1.000000000000000,1611,9202,14920_41_50_51_52_63,Great Lakes Coastal Marsh Systems,Riparian,Northern Great Lakes Coastal Marsh,Riparian
