"","OID_","VALUE","COUNT","VALUE_1","COUNT_1","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"36",48,7512,1301883,7512,16793762,"Appalachian (Hemlock)-Northern Hardwood Forest",7370,2512,"Tr Appalachian Hemlock-Northern Hardwood Forest","Tree","Conifer-Hardwood",685,"Pine-Hemlock-Hardwood Forest","SAF 60: Sugar Maple-Beech","Tree-dominated","Closed tree canopy","Mixed evergreen-deciduous closed tree canopy",0,38,115,0,0.14902,0.45098,289532,0.4
"37",56,7907,1416199,7907,11162674,"Eastern Cool Temperate Urban Mixed Forest",7907,2915,"Dtm Urban Mixed Deciduous-Evergreen Forest","Tree","Developed",15,"Developed-Upland Mixed Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Mixed evergreen-deciduous open tree canopy",194,158,215,0.760784,0.619608,0.843137,314955,0.4
"38",64,7970,1188785,7970,1723160,"Eastern Cool Temperate Orchard",7970,2960,"Dab Orchard","Tree","Agricultural",60,"Agricultural-Orchard","LF 80: Agriculture","Tree-dominated","Open tree canopy","Deciduous open tree canopy",210,28,94,0.823529,0.109804,0.368627,264379,0.4
"39",2,7240,841249,7240,4336060,"Laurentian-Acadian Hardwood Forest",7366,2240,"Tr Laurentian-Acadian Hardwood Forest","Tree","Hardwood",685,"Pine-Hemlock-Hardwood Forest","SAF 24: Hemlock-Yellow Birch","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",0,92,0,0,0.360784,0,187089,0.3
"40",27,7370,842942,7370,5668544,"Appalachian Hemlock Forest",7370,2370,"Tr Appalachian Hemlock Forest","Tree","Conifer",685,"Pine-Hemlock-Hardwood Forest","SAF 60: Sugar Maple-Beech","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,38,115,0,0.14902,0.45098,187466,0.3
"41",55,7906,928846,7906,9706092,"Eastern Cool Temperate Urban Evergreen Forest",7906,2914,"Dtc Urban Evergreen Forest","Tree","Developed",14,"Developed-Upland Evergreen Forest","LF 20: Developed","Tree-dominated","Open tree canopy","Evergreen open tree canopy",170,102,205,0.666667,0.4,0.803922,206570,0.3
"42",94,9118,862590,9118,2806852,"Laurentian-Acadian Freshwater Marsh",9118,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Herb","Riparian",675,"Inland Marshes and Prairies","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,191835,0.3
"43",96,9120,1148544,9120,7032276,"Laurentian-Acadian Wet Meadow",9120,2494,"Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Herb","Riparian",783,"Wet Meadow","LF 44: Laurentian-Acadian Herbaceous Wetland","Herbaceous / Nonvascular-dominated","Herbaceous - grassland","Perennial graminoid grassland",255,92,38,1,0.360784,0.14902,255430,0.3
"44",22,7314,608931,7314,6747714,"North-Central Interior Maple-Basswood Forest",7314,2314,"Tr North-Central Interior Maple-Basswood Forest","Tree","Hardwood",655,"Beech-Maple-Basswood Forest","SAF 26: Sugar Maple-Basswood","Tree-dominated","Closed tree canopy","Deciduous closed tree canopy",171,255,138,0.670588,1,0.541176,135423,0.2
"45",28,7373,735319,7373,30209166,"Acadian Low-Elevation Spruce-Fir Forest",7373,2373,"Tr Acadian Low-Elevation Spruce-Fir Forest","Tree","Conifer",693,"Spruce-Fir-Hardwood Forest","SAF 33: Red Spruce-Balsam Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",186,54,14,0.729412,0.211765,0.054902,163531,0.2
"46",34,7395,517114,7395,902873,"North-Central Oak Barrens Woodland",7395,2395,"Tr North-Central Oak Barrens","Tree","Hardwood",663,"Black Oak Woodland and Savanna","SAF 14: Northern Pin Oak","Tree-dominated","Sparse tree canopy","Deciduous sparse tree canopy",44,127,163,0.172549,0.498039,0.639216,115003,0.2
